Company_Name,Website,Site_catagory,Sign_Up_Deal,Sign_Up_Deal_ifYes,Shipping_Cost,IsShopify,IsMagento,IsOther,CrawlType,InventoryPath,DetailPattern,PaginationPattern,Redirect_URL
Drizly,https://drizly.com/,Retail,,,,,,,B,"/labor-day-essentials/t197592,,/beer-top-picks/c197347,,/craft-beer/c197350,,/beer/specialty-beer-alternatives/hard-seltzer/c196899,,/beer/lager/pale-lager/american-style-lager/light-lager/c197062,,/beer/ale/ipa/c15,,/beer/lager/c16,,/cider/c14,,/beer/ale/c196812,,/new-england-hazy-ipa/c197328,,/beer/lager/pilsner/c728,,/beer/ale/sour-ale/c738,,/beer/ale/wheat-ale/hefeweizen/c196472,,/beer-variety-packs/c197351,,/non-alcoholic-beer/c197352,,/gluten-reduced-beer/c197353,,/german-beer/c197355,,/wfh-wine-from-home/c197583,,/wine-top-picks/c197356,,/wine/white-wine/chardonnay/c58,,/wine/white-wine/sauvignon-blanc/c64,,/wine/white-wine/pinot-grigio/c196769,,/french-white-wine/c197540,,/wine/white-wine/riesling/c62,,/italian-white-wine/c197543,,/american-white-wine/c197541,,/wine/red-wine/cabernet-sauvignon/c30,,/wine/red-wine/pinot-noir/c37,,/italian-red-wine/c197457,,/french-red-wine/c197528,,/wine/red-wine/red-blend/c197372,,/american-red-wine/c197527,,/wine/red-wine/merlot/c35,,/spanish-red-wine/c197533,,/wine/red-wine/malbec/c34,,/wine/champagne-sparkling-wine/champagne/c196479,,/wine/champagne-sparkling-wine/sparkling-rose-wine/c196557,,/wine/champagne-sparkling-wine/prosecco/c196471,,/wine/champagne-sparkling-wine/cava/c196555,,/wine/champagne-sparkling-wine/american-sparkling/c197090,,/wine/champagne-sparkling-wine/sparkling-red-wine/c196556,,/wine/champagne-sparkling-wine/asti/c196554,,/wine/champagne-sparkling-wine/other-sparkling-wine/c197091,,/wine/rose-wine/c196551,,/wine/dessert-fortified-wine/c196559,,/french-wine/c197363,,/italian-wine/c197364,,/spanish-wine/c197365,,/california-wine/c197362,,/wine/sake/c737,,/liquor-top-picks/c197368,,/worldwide-whiskeys/t197598,,/liquor/whiskey/bourbon/c196926,,/liquor/whiskey/scotch-whisky/c196927,,/liquor/whiskey/japanese-whisky/c746,,/liquor/whiskey/rye-whiskey/c92,,/liquor/whiskey/canadian-whisky/c743,,/whiskey-made-in-the-united-states/c197525,,/liquor/whiskey/irish-whiskey/c91,,/liquor/whiskey/flavored-whiskey/c196932,,/liquor/vodka/c89,,/liquor/tequila/c88,,/liquor/rum/c87,,/liquor/mezcal/c86,,/liquor/gin/c84,,/liquor/liqueur/c196877,,/liquor/ready-to-drink/c196890,,/liquor/brandy/c82,,/extras/beverages/juice/c196979,,/extras/mixers-syrups-bitters/c196977,,/extras/beverages/energy-drinks/c196439,,/extras/beverages/soda-sparkling-drinks/c196431,,/extras/ice-party-supplies-barware/party-supplies/c196433,,/extras/food-snacks-candy/c196953","//div[@class=""product-container""]/section/ul/li//a","//div[@class=""products-pagination""]//a[@aria-label=""Navigate to next page""]",
E3Live,https://www.e3live.com/,Brand,,,,,,,C,,,,
Earnest Eats,www.earnesteats.com,Brand,,,,,,,C,,,,
Earthrise,www.earthrise.com,Brand,,,,,,,C,,,,
Earths Bounty,www.earthsbounty.com,Brand,,,,,,,C,,,,
Eataly,https://www.eataly.com/,Retail,,,,,,,C,,,,
Eating Evolved,https://eatingevolved.com/,Brand,,,,,,,C,,,,
Eating Evolved,www.eatingevolved.com,Brand,,,,,,,C,,,,
Eboost,www.eboost.com,Brand,,,,,,,C,,,,
Eclectic Institute,www.eclecticherb.com,Brand,,,,,,,C,,,,
